row,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bin_num,bin_cat,ord_num,ord_cat,dateTime,year,age,elapsed_days,month,hour,nominal_num,nominal_cat
81,-122.29,37.81,20.0,835,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,0.0,No,3.0,Medium,2018-08-02 18:00:00,2005.0,28.0,131.0,9.0,22.0,3.0,Green
82,-122.28,37.81,17.0,1237,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,0.0,No,5.0,Very High,2017-01-14 13:00:00,2008.0,22.0,129.0,10.0,11.0,1.0,Pink
83,-122.28,37.81,36.0,2914,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,1.0,Yes,5.0,Very High,2018-08-12 06:00:00,2024.0,41.0,82.0,3.0,12.0,3.0,Green
84,-122.28,37.81,19.0,1207,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,1.0,Yes,1.0,Very Low,2025-03-24 21:00:00,2018.0,35.0,90.0,8.0,21.0,1.0,Pink
85,-122.29,37.81,23.0,1745,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,1.0,Yes,5.0,Very High,2018-12-19 02:00:00,2016.0,20.0,79.0,12.0,14.0,0.0,Violet
86,-122.28,37.8,38.0,684,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,1.0,Yes,4.0,High,2023-03-14 12:00:00,2018.0,26.0,92.0,6.0,7.0,2.0,Blue
87,-122.28,37.81,17.0,924,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,1.0,Yes,5.0,Very High,2021-01-27 08:00:00,2000.0,34.0,177.0,8.0,16.0,3.0,Green
88,-122.27,37.81,52.0,210,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,0.0,No,4.0,High,2025-08-25 19:00:00,2002.0,29.0,120.0,11.0,1.0,1.0,Pink
89,-122.28,37.81,52.0,340,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,1.0,Yes,5.0,Very High,2015-10-26 06:00:00,2001.0,18.0,217.0,3.0,14.0,2.0,Blue
90,-122.28,37.81,52.0,386,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,1.0,Yes,1.0,Very Low,2018-10-06 00:00:00,2008.0,26.0,30.0,9.0,13.0,3.0,Green
91,-122.28,37.81,35.0,948,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,0.0,No,5.0,Very High,2019-11-20 13:00:00,2012.0,43.0,44.0,9.0,22.0,1.0,Pink
92,-122.28,37.81,52.0,773,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,1.0,Yes,5.0,Very High,2024-10-18 05:00:00,2021.0,42.0,98.0,12.0,20.0,2.0,Blue
93,-122.27,37.81,40.0,880,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,1.0,Yes,1.0,Very Low,2020-03-16 16:00:00,2001.0,28.0,110.0,1.0,16.0,3.0,Green
94,-122.27,37.81,10.0,875,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,0.0,,3.0,Medium,2021-11-04 00:00:00,2001.0,14.0,65.0,9.0,13.0,2.0,Blue
95,-122.27,37.8,10.0,105,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,1.0,Yes,2.0,Low,2021-02-13 09:00:00,2014.0,26.0,168.0,9.0,23.0,1.0,Pink
96,-122.27,37.8,52.0,249,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,0.0,No,3.0,Medium,2020-11-30 11:00:00,2004.0,14.0,60.0,8.0,4.0,1.0,Pink
97,-122.27,37.8,16.0,994,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,0.0,No,4.0,High,2021-02-06 09:00:00,2000.0,16.0,54.0,4.0,2.0,1.0,Pink
98,-122.28,37.8,52.0,215,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,0.0,No,1.0,Very Low,2021-07-12 03:00:00,2018.0,36.0,122.0,2.0,6.0,2.0,Blue
99,-122.28,37.8,52.0,96,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,0.0,No,5.0,Very High,2024-01-30 14:00:00,2015.0,42.0,206.0,10.0,1.0,0.0,Violet
100,-122.27,37.79,27.0,1055,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,1.0,Yes,3.0,Medium,2018-02-13 11:00:00,2007.0,26.0,99.0,6.0,6.0,1.0,Pink
101,-122.27,37.8,39.0,1715,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,0.0,No,2.0,Low,2015-03-01 01:00:00,2016.0,43.0,102.0,11.0,20.0,4.0,Red
102,-122.26,37.8,36.0,5329,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,1.0,Yes,5.0,Very High,2016-05-05 11:00:00,2016.0,25.0,129.0,7.0,8.0,4.0,Red
103,-122.26,37.82,31.0,4596,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,1.0,Yes,2.0,Low,2019-03-19 01:00:00,2013.0,35.0,190.0,9.0,9.0,2.0,Blue
104,-122.26,37.81,29.0,335,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,1.0,Yes,5.0,Very High,2023-02-17 17:00:00,2003.0,15.0,118.0,2.0,21.0,2.0,Blue
105,-122.26,37.82,22.0,3682,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,0.0,No,5.0,Very High,2020-08-21 11:00:00,2017.0,24.0,122.0,3.0,14.0,4.0,Red
106,-122.26,37.82,37.0,3633,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,0.0,No,1.0,Very Low,2020-08-13 05:00:00,2006.0,22.0,208.0,6.0,7.0,0.0,Violet
107,-122.25,37.81,29.0,4656,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,1.0,Yes,2.0,Low,2015-07-09 15:00:00,2020.0,40.0,103.0,2.0,8.0,,Pink
108,-122.25,37.81,28.0,5806,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,1.0,Yes,4.0,High,2015-06-13 00:00:00,2003.0,14.0,72.0,5.0,3.0,0.0,Violet
109,-122.25,37.81,39.0,854,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,0.0,No,3.0,Medium,2024-07-10 10:00:00,2004.0,12.0,47.0,10.0,12.0,2.0,Blue
110,-122.25,37.81,52.0,2155,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,0.0,No,2.0,Low,2015-09-16 16:00:00,2009.0,24.0,2.0,4.0,13.0,1.0,Pink
111,-122.26,37.81,34.0,5871,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,1.0,Yes,5.0,Very High,2024-02-10 23:00:00,2016.0,43.0,115.0,5.0,8.0,0.0,Violet
112,-122.24,37.82,52.0,1509,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,1.0,Yes,3.0,Medium,2015-08-02 13:00:00,2004.0,12.0,96.0,3.0,4.0,3.0,Green
113,-122.24,37.81,52.0,2026,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,1.0,Yes,2.0,Low,2018-11-01 20:00:00,2002.0,30.0,119.0,9.0,5.0,4.0,Red
114,-122.25,37.81,52.0,1758,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,0.0,No,2.0,Low,2019-11-23 17:00:00,2017.0,44.0,140.0,2.0,0.0,2.0,Blue
115,-122.24,37.82,52.0,3481,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,1.0,Yes,5.0,Very High,2024-04-24 01:00:00,2008.0,38.0,190.0,5.0,15.0,2.0,Blue
116,-122.25,37.82,28.0,3337,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,0.0,No,5.0,Very High,2024-02-26 08:00:00,2021.0,30.0,169.0,5.0,15.0,2.0,Blue
117,-122.25,37.82,52.0,1424,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,1.0,Yes,5.0,Very High,2020-08-06 18:00:00,2015.0,42.0,103.0,1.0,6.0,4.0,Red
118,-122.25,37.82,32.0,3809,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,0.0,No,4.0,High,2016-11-23 17:00:00,2011.0,16.0,68.0,6.0,23.0,4.0,Red
119,-122.25,37.82,26.0,3959,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,0.0,No,5.0,Very High,2022-01-26 03:00:00,2017.0,30.0,103.0,1.0,1.0,3.0,Green
120,-122.25,37.83,52.0,2376,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,1.0,Yes,5.0,Very High,2019-08-31 03:00:00,2021.0,19.0,87.0,4.0,6.0,1.0,Pink
121,-122.25,37.83,35.0,1613,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,1.0,Yes,1.0,Very Low,2021-04-27 15:00:00,2017.0,17.0,70.0,9.0,19.0,2.0,Blue
122,-122.25,37.83,52.0,1279,287.0,534.0,291.0,3.1429,231600.0,NEAR BAY,1.0,Yes,5.0,Very High,2021-01-21 06:00:00,2012.0,25.0,140.0,8.0,16.0,1.0,Pink
123,-122.25,37.83,28.0,5022,1750.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,1.0,Yes,4.0,High,2020-10-27 16:00:00,2007.0,20.0,19.0,10.0,22.0,1.0,Pink
124,-122.25,37.83,52.0,4190,1105.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,0.0,No,1.0,Very Low,2023-02-11 23:00:00,2006.0,34.0,205.0,4.0,13.0,3.0,Green
125,-122.23,37.84,50.0,2515,399.0,970.0,373.0,5.8596,327600.0,NEAR BAY,0.0,No,5.0,Very High,2019-12-30 05:00:00,2006.0,43.0,17.0,8.0,0.0,0.0,Violet
126,-122.23,37.84,47.0,3175,454.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,1.0,Yes,2.0,Low,2022-09-21 13:00:00,2024.0,12.0,185.0,3.0,16.0,3.0,Green
127,-122.24,37.83,41.0,2576,406.0,794.0,376.0,5.956,366100.0,NEAR BAY,0.0,No,1.0,Very Low,2017-05-29 13:00:00,2021.0,34.0,45.0,12.0,1.0,1.0,Pink
128,-122.24,37.85,37.0,334,54.0,98.0,47.0,4.9643,335000.0,NEAR BAY,,Yes,2.0,Low,2024-04-23 11:00:00,2024.0,14.0,70.0,4.0,11.0,4.0,Red
129,-122.23,37.85,52.0,2800,411.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,0.0,No,2.0,Low,2016-05-25 23:00:00,2003.0,38.0,49.0,5.0,1.0,2.0,Blue
130,-122.24,37.84,52.0,3529,574.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,0.0,No,1.0,Very Low,2020-05-25 13:00:00,2011.0,39.0,133.0,6.0,2.0,4.0,Red
131,-122.24,37.85,52.0,2612,365.0,901.0,367.0,7.2354,391100.0,NEAR BAY,1.0,Yes,4.0,High,2018-11-20 17:00:00,2023.0,17.0,164.0,2.0,5.0,4.0,Red
132,-122.22,37.85,28.0,5287,1048.0,2031.0,956.0,5.457,337300.0,NEAR BAY,0.0,No,4.0,High,2023-08-09 10:00:00,2023.0,45.0,160.0,6.0,16.0,4.0,Red
133,-122.22,37.84,50.0,2935,473.0,1031.0,479.0,7.5,295200.0,NEAR BAY,0.0,No,4.0,High,2023-06-20 03:00:00,2021.0,34.0,142.0,9.0,9.0,0.0,Violet
